eval_loss,eval_cer,eval_wer,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step,loss,grad_norm,learning_rate,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.7667010426521301,0.5079,0.8049,32.8153,1.798,0.152,39.0,780,,,,,,,,
,,,,,,39.92307692307692,798,0.34984202133981807,6.612217903137207,7.3566451932756744e-06,,,,,
0.7727375030517578,0.498,0.798,32.9479,1.791,0.152,40.0,800,,,,,,,,
0.7763544917106628,0.5031,0.7912,33.1566,1.779,0.151,41.0,820,,,,,,,,
,,,,,,41.82051282051282,836,0.2811260223388672,5.935786247253418,4.946920181123904e-06,,,,,
0.79795902967453,0.5062,0.8059,33.1775,1.778,0.151,42.0,840,,,,,,,,
0.8038429617881775,0.4895,0.7863,33.3278,1.77,0.15,43.0,860,,,,,,,,
,,,,,,43.717948717948715,874,0.22724530571385435,5.824010848999023,2.9719973369397023e-06,,,,,
0.8036343455314636,0.4969,0.7794,32.6079,1.809,0.153,44.0,880,,,,,,,,
0.7922889590263367,0.5048,0.7951,32.4886,1.816,0.154,45.0,900,,,,,,,,
,,,,,,45.61538461538461,912,0.19484100843730726,5.000818729400635,1.4746980498551112e-06,,,,,
0.7982879877090454,0.5096,0.7843,32.8679,1.795,0.152,46.0,920,,,,,,,,
0.7919290065765381,0.5003,0.802,33.3012,1.772,0.15,47.0,940,,,,,,,,
,,,,,,47.51282051282051,950,0.17762627099689685,5.888959884643555,4.874876061005173e-07,,,,,
0.8001959323883057,0.5056,0.7833,33.1719,1.779,0.151,48.0,960,,,,,,,,
0.7973660826683044,0.4901,0.7784,33.4278,1.765,0.15,49.0,980,,,,,,,,
,,,,,,49.41025641025641,988,0.1630899153257671,3.6795670986175537,3.177125838830786e-08,,,,,
0.796922504901886,0.4907,0.7794,33.8753,1.742,0.148,50.0,1000,,,,,,,,
,,,,,,50.0,1000,,,,5677.8924,4.746,0.176,2.019771387536317e+19,4.203619460225105
