Method,Mean Time (s),Std Time (s),Min Time (s),Max Time (s),Median Time (s)
MORPHBG default,5.218548807230863,1.2000528952310732,1.14677095413208,15.107640981674194,4.981040954589844
MORPHBG k41,3.1421111316391914,0.9161524787533092,0.7232692241668701,11.621124029159546,3.0019688606262207
MORPHBG k81,7.9383692145347595,1.0921434380158301,1.9834120273590088,12.426506042480469,7.790531158447266
Sauvola w25 k0.2,0.06489521806890314,0.009993728736419615,0.018236160278320312,0.1215372085571289,0.06404399871826172
Sauvola w51 k0.3,0.048226208397836395,0.008883925026021023,0.01397705078125,0.08896708488464355,0.0462338924407959
Niblack w25 k-0.2,0.04179905941992095,0.0064625213123163106,0.013140201568603516,0.07277297973632812,0.04055941104888916
Wolf w25 k0.5,0.059528744581973915,0.011672051857703418,0.018822908401489258,0.12529325485229492,0.05751156806945801
Otsu,0.0027122443372553044,0.000422540901329383,0.0011501312255859375,0.00429534912109375,0.002643585205078125
Hybrid TapeAware,5.39574135614164,1.1506154334415022,1.1876871585845947,14.64713191986084,5.22974956035614
